Front,Right,Left,Action
58,24,79,W
58,24,79,W
80,25,67,W
80,25,67,W
80,25,67,W
80,25,67,W
79,25,58,W
79,25,58,W
79,25,58,W
79,25,58,W
79,25,80,W
79,26,79,W
79,26,79,W
79,25,76,W
76,24,77,W
74,24,40,W
72,26,18,W
69,23,20,W
62,22,19,W
62,22,19,W
62,22,19,W
59,22,21,W
59,22,21,W
57,23,19,W
74,23,19,W
74,23,19,W
74,23,17,W
74,23,17,W
74,24,17,W
69,23,19,W
55,23,18,W
64,23,17,A
61,22,18,A
57,21,18,A
57,21,18,A
57,21,18,A
57,21,18,A
54,20,18,A
54,20,18,A
54,20,18,A
54,20,18,A
50,20,17,A
50,20,17,A
50,20,17,A
46,18,19,A
46,18,19,A
46,18,19,A
46,18,19,A
42,18,18,A
42,18,18,A
42,18,18,A
42,18,18,A
42,18,18,A
37,18,22,A
37,18,22,A
37,18,22,A
37,18,22,A
37,18,22,A
33,18,35,A
33,18,35,A
33,18,35,A
33,18,35,A
31,19,51,A
31,19,51,A
31,19,51,A
31,19,51,A
30,20,53,A
30,20,53,A
27,19,55,A
20,19,56,A
19,20,51, 
25,19,53, 
23,20,53, 
21,21,49, 
21,21,49, 
21,21,49, 
21,21,49, 
21,25,55, 
21,25,55, 
21,25,55, 
21,25,55, 
78,24,94, 
78,24,94,W
78,24,94,W
78,24,94,W
-1,28,94,W
-1,28,94,W
-1,28,94,W
-1,28,94,W
-1,28,94,W
122,28,29,W
122,28,29,W
122,28,29,W
122,28,29,W
119,25,26,W
119,25,26,W
119,25,26,W
119,25,26,W
-1,23,29,W
-1,23,29,W
-1,23,29,W
109,22,29,W
109,22,29,W
109,22,29,W
109,22,29,W
109,22,29,W
83,23,55,W
83,23,55,W
83,23,55,W
83,23,55,W
83,23,55,W
116,24,55,W
107,24,55,A
107,25,54,A
107,25,54,A
107,25,54,A
106,25,55,A
105,22,56,A
101,22,18,A
97,27,10,A
94,20,8,A
90,19,8,A
90,19,8,A
90,19,8, 
90,19,8, 
86,21,10, 
86,21,10, 
86,21,10, 
82,19,10,W
82,19,10,W
82,19,10,W
82,19,10,W
82,19,10,W
78,18,12,W
78,18,12,W
78,18,12,W
78,18,12,W
78,18,12,W
74,17,13,W
74,17,13,W
74,17,13,W
74,17,13,W
74,17,13,W
69,15,18,W
69,15,18,W
66,16,58,W
64,16,18,A
63,16,14,A
61,16,14,A
61,16,14,A
61,17,14,A
61,17,14,A
61,19,12,A
59,18,13,A
56,17,14,A
52,18,13,A
49,18,12,A
49,18,12,A
45,20,13,A
45,20,13,A
45,20,13,A
45,20,13,A
41,19,13,A
41,19,13,A
41,19,13,A
41,19,13,A
37,19,12,A
37,19,12, 
37,19,12, 
37,19,12, 
33,21,16, 
33,21,16, 
29,42,48, 
29,42,48, 
29,24,28,W
29,23,25,W
29,22,29,W
26,22,23,W
26,23,22,W
29,25,27,W
29,25,27,W
29,25,27,W
29,25,27,W
29,28,29,W
29,28,29,W
29,28,29,W
29,28,29,W
46,28,43,W
46,28,43,W
47,29,40,W
47,29,40,W
47,29,16,W
47,31,15,W
44,31,18,W
44,31,18,W
42,28,18,W
42,28,18,W
-1,28,18,W
39,25,19,W
39,26,18,W
38,27,16,W
101,29,24,W
101,29,24,W
99,20,15,W
99,20,15,W
99,20,15,W
99,22,11,W
99,22,11,W
99,22,11,W
99,22,11,W
98,21,10,W
98,21,10,W
98,21,10,W
98,21,10,W
98,21,8,W
98,21,8,W
97,22,7,W
96,22,70,W
93,23,8,W
90,21,8,W
86,27,4,W
82,28,6,W
82,28,6,W
82,28,6,W
82,28,6,W
78,26,9,W
78,26,9,W
78,26,9,W
78,26,9,W
74,24,6,W
74,24,6,W
74,24,6,W
74,24,6,W
70,23,8, 
70,23,8, 
70,23,8, 
70,23,8, 
66,23,9, 
66,23,9, 
66,23,9, 
66,23,9,A
62,23,10,A
62,23,10,A
62,23,10,A
62,23,10,A
62,23,10,A
58,23,10,A
58,23,10,A
58,23,10,A
58,23,10,A
54,23,10,A
54,23,10,A
54,23,10,A
54,23,10,A
50,22,11,A
50,22,11,A
50,22,11,A
50,22,11,A
47,24,12,A
47,24,12,A
47,24,12,A
47,24,12,A
42,22,17,A
42,22,17,A
42,22,17,A
42,22,17,A
42,22,17,A
37,21,59,A
37,21,59,A
37,21,59,A
34,21,94,A
34,21,94,A
32,21,64,A
31,21,59,A
30,22,50,A
29,22,49,A
29,23,49,A
29,26,49,A
29,26,49,A
29,26,49,A
29,26,49,A
29,25,48,A
29,25,48,A
29,25,48,A
29,25,48,A
28,23,49,A
28,23,49,A
28,23,49,A
28,23,49,A
28,23,49,A
29,24,49,A
29,24,49,A
29,24,49,A
29,24,49,A
30,27,50,A
30,27,50,A
30,27,50,A
30,27,50,A
64,28,49,A
64,28,49,A
64,28,49,A
64,28,49,A
68,39,57,A
68,39,57,A
68,39,57,A
68,39,57,A
63,38,30,A
63,38,30,A
63,38,30,A
63,38,30,A
65,40,29,A
65,40,29,A
65,40,29,A
65,40,29,A
65,40,29,A
64,41,29,A
64,41,29,A
64,41,29,A
63,40,29,A
63,40,29,A
63,40,29,A
63,40,29,A
89,35,29,A
89,35,29,A
89,35,29,A
89,35,29, 
89,35,29, 
61,31,29, 
61,31,29, 
61,31,29, 
61,31,29, 
67,29,29, 
67,29,29, 
67,29,29, 
67,29,29,W
65,29,28,W
65,29,28,W
65,29,28,W
65,29,28,W
65,29,28,W
61,29,73,W
61,29,73,W
61,29,73,W
61,29,73,W
66,28,56,W
66,28,56,W
66,28,56,W
66,28,56,W
119,28,77,W
119,28,77,W
119,28,77,W
119,28,77,W
119,29,27,W
119,29,27,W
119,29,27,W
119,29,27,W
119,29,27,W
118,29,75,W
118,29,75,W
118,29,75,W
118,29,75,W
117,31,73,W
117,31,73,W
117,31,73,W
117,31,71,W
117,31,71,W
117,31,71,W
116,32,67,W
114,31,16,W
111,30,10,W
108,29,8,W
104,29,10,W
104,29,10,W
100,29,9,W
100,29,9,W
100,29,9,W
100,29,9,W
100,29,9,W
96,28,10,W
96,28,10,W
96,28,10,W
96,28,10,W
93,28,10,W
93,28,10,W
93,28,10,W
93,28,10,W
88,27,12,W
88,27,12,W
88,27,12,W
88,27,12,W
84,27,15,W
84,27,15,W
84,27,15,W
84,27,15,W
80,27,15,W
80,27,15,W
80,27,15,W
80,27,15,W
76,27,13,W
76,27,13,W
76,27,13,W
76,27,13,W
76,27,13,W
72,26,13,W
72,26,13,W
72,26,13,W
72,26,13,W
68,25,15,W
68,25,15,W
68,25,15,W
68,25,15, 
63,26,14, 
63,26,14, 
63,26,14, 
63,26,14, 
59,26,16,A
59,26,16,A
59,26,16,A
59,26,16,A
59,26,16,A
55,26,17,A
55,26,17,A
55,26,17,A
55,26,17,A
51,27,17,A
51,27,17,A
51,27,17,A
51,27,17,A
47,24,56,A
47,24,56,A
47,24,56,A
47,24,56,A
44,24,34,A
44,24,34,A
44,24,34,A
44,24,34,A
44,24,34,A
41,25,57,A
41,25,57,A
41,25,57,A
41,25,57,A
36,22,58,A
36,22,58,A
36,22,58,A
36,22,58,A
32,22,59,A
32,22,59,A
32,22,59,A
32,22,59,A
28,21,62,A
28,21,62,A
24,21,56,A
25,22,63,A
22,22,61,A
25,23,74,A
22,24,59,A
25,25,76,A
25,25,76,A
25,25,76,A
25,25,76,A
23,27,70,A
23,27,70,A
23,27,70,A
23,27,70,A
25,28,70,A
25,28,70,A
25,28,70,A
25,28,70, 
25,28,70, 
79,30,42, 
79,30,42, 
79,30,42, 
79,30,42, 
56,34,70, 
56,34,70, 
56,34,70, 
56,34,70, 
81,39,38, 
81,39,38,W
81,39,38,W
81,39,38,W
59,40,38,W
59,40,38,W
59,40,38,W
59,40,38,W
68,41,36,W
68,41,36,W
68,41,36,W
68,41,36,W
54,41,38,W
54,41,38,W
54,41,38,W
54,41,38,W
55,26,84,W
55,26,84,W
55,26,84,W
55,26,84,W
55,26,84,W
65,25,55,W
65,25,55,W
65,25,55,W
65,25,55,W
84,28,84,W
84,28,84,W
84,28,84,W
84,28,84,W
66,28,56,W
66,28,56,W
66,28,56,W
66,28,56,W
61,26,96,W
61,26,96,W
61,26,96,W
61,26,96,W
61,26,96,W
83,27,80,W
83,28,96,W
83,28,96,W
66,28,75,W
81,27,91,W
79,26,78,W
76,26,22,W
76,25,19,W
86,25,16,W
86,25,16,W
86,25,16,W
86,25,16,W
66,26,16,W
66,26,16,W
66,26,16,W
60,24,17,W
60,24,17,W
60,24,17,W
60,24,17,W
60,24,17,W
73,24,16,W
73,24,16,W
73,24,16,W
73,24,16,W
55,24,17,W
55,24,17,W
55,24,17, 
55,24,17, 
55,24,19, 
55,24,19, 
55,24,19, 
55,24,19, 
60,26,18,A
60,26,18,A
60,26,18,A
60,26,18,A
60,26,18,A
56,21,21,A
56,21,21,A
56,21,21,A
56,21,21,A
52,19,19,A
52,19,19,A
52,19,19,A
52,19,19,A
49,18,20,A
49,18,20,A
49,18,20,A
49,18,20,A
45,17,20,A
45,17,20,A
45,17,20,A
45,17,20,A
45,15,21,A
45,15,21, 
45,15,21, 
37,14,22, 
37,14,22, 
37,14,22, 
37,14,22,W
36,14,27,W
36,14,27,W
33,15,26,W
31,14,54,W
35,15,56,W
32,23,53,W
29,19,51,W
29,19,51,W
29,21,46,W
29,21,46,W
29,21,46,W
29,21,46,W
30,24,25, 
30,24,25, 
30,24,25, 
30,24,25, 
30,24,25, 
31,25,20, 
31,25,20, 
31,25,20, 
31,25,20, 
38,35,78, 
38,35,78,A
38,35,78,A
-1,26,64,A
-1,26,64,A
-1,26,64,A
-1,26,64,A
-1,26,64,A
-1,28,130,A
-1,28,130,A
79,28,92,A
121,32,96,A
-1,41,21, 
-1,30,85, 
-1,30,85, 
-1,37,22, 
-1,37,22, 
72,38,22, 
49,23,112, 
104,23,10,W
-1,25,10,W
101,22,12,W
101,22,12,W
100,48,8,A
100,48,8,A
100,23,9,A
100,25,9,A
100,25,9,A
61,23,9,A
98,24,9, 
98,24,9, 
98,30,10, 
98,30,10, 
98,23,10, 
97,28,9, 
94,21,6,W
90,21,7,W
86,21,10,W
86,21,10,W
82,21,9,W
82,21,9,W
82,21,9,W
82,21,9,W
79,19,10,W
79,19,10,W
79,19,10,W
79,19,10,W
74,19,13,W
74,19,13,W
74,19,13,W
74,19,13,W
71,18,13,W
71,18,13,W
71,18,13,W
67,18,56,W
67,18,56,W
66,18,14,W
64,17,19,W
63,17,12,A
63,17,12,A
62,18,11,A
62,18,11,A
61,19,11,A
59,19,11,A
57,18,11,A
54,19,11,A
50,20,11,A
46,20,12,A
46,20,12,A
46,20,12,A
46,20,12,A
43,20,11,A
43,20,11,A
43,20,11,A
43,20,11,A
38,18,14,A
38,18,14,A
38,18,14,A
38,18,14,A
34,20,69,A
34,20,69,A
34,20,69,A
34,20,69,A
34,20,69,A
30,21,30,A
30,21,30,A
27,20,28,A
29,21,29,A
24,22,27,A
25,22,29,A
22,26,28,W
23,24,24,W
23,24,24,W
23,24,24,W
23,24,24,W
22,26,24,W
22,26,24,W
22,26,24,W
22,26,24,W
24,27,24,W
24,27,24,W
24,27,24,W
24,27,24,W
45,29,23, 
45,29,23, 
45,29,23, 
45,29,23, 
43,30,21, 
43,30,21, 
43,30,21,W
43,30,21,W
44,29,23,W
44,29,23,W
44,29,23, 
69,36,14, 
69,36,14, 
69,36,14, 
107,28,11, 
105,26,10, 
104,25,9, 
104,25,9, 
104,25,9, 
104,25,9,W
104,25,9,W
104,25,9,W
104,25,9,W
104,25,9,W
104,25,9,W
104,25,9,W
104,25,9,W
88,26,9,W
101,25,7,W
99,24,9,A
96,24,12,A
92,22,9,A
92,22,9,A
88,25,10,A
88,25,10,A
86,23,7,A
86,23,7, 
83,24,9, 
83,24,9, 
82,24,8, 
81,24,9, 
79,24,10, 
75,22,11,W
72,20,10,W
68,19,15,W
68,19,15,W
68,19,15,W
64,18,15,W
64,18,15,W
64,18,15,W
64,18,15,W
60,18,16,W
60,18,16,W
60,18,16,W
60,18,16,W
56,17,16,W
56,17,16,W
56,17,16,W
54,15,20,W
54,15,20,W
52,16,17,W
51,15,17,A
50,16,16,A
50,16,16,A
49,17,15,A
49,17,15,A
49,17,16,A
48,16,16,A
46,34,15,A
43,17,16,A
39,19,49,A
36,19,49,A
36,19,49,A
36,19,49,A
33,18,49,A
33,18,49,A
33,18,49,A
33,18,49,A
28,19,50,A
28,19,50,A
28,19,50,A
25,19,54,A
25,19,54,A
23,20,54,A
23,19,54,A
22,20,55,A
26,20,49,A
23,20,54,A
23,20,54,A
24,20,49,A
24,20,49,A
24,20,49,A
24,20,49,A
24,21,52,A
24,21,52,A
24,21,52,A
24,21,52,A
22,22,51,A
22,22,51,A
22,22,51,A
22,22,51,A
22,22,49,A
22,22,49,A
22,22,49,A
22,22,49,A
22,22,54,A
22,22,54,A
22,22,54,A
22,22,54,A
22,22,54,A
22,23,53,A
22,23,53,A
22,23,53,A
22,23,53,A
23,25,53,A
23,25,53,A
23,25,53,A
23,25,53,A
85,28,52,A
85,28,52,A
85,28,52,A
85,28,52,A
73,33,53,A
73,33,53,A
73,33,53,A
73,33,53,A
85,33,54,A
85,33,54,A
85,33,54,A
85,33,54,A
85,33,54,A
84,35,51,A
84,35,51,A
84,35,51,A
63,34,53,A
63,34,53,A
63,34,53,A
63,34,53,A
63,34,53,A
107,34,39,A
107,34,39,A
107,34,39,A
129,34,37,A
129,34,37,A
129,34,37,A
129,34,37,A
129,34,37,A
128,27,37,A
128,27,37,A
128,27,37,A
128,27,37,A
128,27,37,A
128,24,37,A
128,24,37,A
128,24,37,A
128,24,37,A
61,21,35,A
61,21,35,A
61,21,35,A
61,21,35,A
62,20,36,A
62,20,36,A
62,20,36,A
62,20,36,A
125,20,35, 
125,20,35, 
125,20,35, 
125,20,35, 
125,20,35, 
124,21,36, 
124,21,36, 
124,21,36,W
124,21,36,W
124,20,35,W
124,20,35,W
124,20,35,W
60,20,35,W
60,20,35,W
60,20,35,W
60,20,35,W
60,20,35,W
120,21,34,W
120,21,34,W
120,21,34,W
120,21,34,W
120,20,36,W
120,20,36,W
120,20,36,W
120,20,36,W
59,20,33,W
59,20,33,W
59,20,33,W
59,20,33,W
59,20,33,W
72,22,35,W
72,22,35,W
72,22,35,W
72,22,35,W
57,22,45,W
57,22,45,W
57,22,45,W
57,22,45,W
117,23,77,W
117,23,77,W
117,23,77,W
117,23,77,W
117,23,79,W
117,23,79,W
113,23,78,W
116,23,78,W
113,22,82,W
111,24,16,W
107,23,15,W
103,23,16,W
103,23,16,W
103,23,16,W
99,22,18,W
99,22,18,W
99,22,18,W
99,22,18,W
99,22,18,W
95,22,16,W
95,22,16,W
95,22,16,W
91,21,18,W
91,21,18,W
91,21,18,W
91,21,18,W
91,21,18,W
87,21,19,W
87,21,19,W
87,21,19,W
87,21,19,W
83,21,18,W
83,21,18,W
83,21,18,W
83,21,18,W
78,21,19,W
78,21,19,W
78,21,19,W
78,21,19, 
78,21,19, 
74,22,17, 
74,22,17, 
74,22,17, 
74,22,17, 
71,21,18, 
71,21,18,A
71,21,18,A
71,21,18,A
66,20,18,A
66,20,18,A
66,20,18,A
66,20,18,A
62,21,19,A
62,21,19,A
62,21,19,A
62,21,19,A
58,22,22,A
58,22,22,A
58,22,22,A
58,22,22,A
58,22,22,A
54,22,20,A
54,22,20,A
54,22,20,A
54,22,20,A
50,21,29,A
50,21,29,A
50,21,29,A
50,21,29,A
47,21,26,A
47,21,26,A
47,21,26,A
47,21,26,A
42,21,35,A
42,21,35,A
42,21,35,A
42,21,35,A
39,21,68,A
39,21,68,A
39,21,68,A
39,21,68,A
39,21,68,A
35,20,73,A
35,20,73,A
31,21,80,A
31,21,59,A
29,20,75,A
29,23,71,A
30,23,84,A
30,24,62,A
30,24,62,A
30,24,62,A
29,26,42,A
29,26,42,A
29,26,42,A
29,26,42,A
30,27,67,A
30,27,67,A
30,27,67,A
30,27,67,A
31,28,66,A
31,28,66,A
31,28,66,A
31,28,66,A
60,38,36,A
60,38,36,W
60,38,36,W
60,38,36,W
60,38,36,W
56,40,35,W
56,40,35,W
56,40,35,W
56,40,35,W
57,39,26,W
57,39,26,W
57,39,26,W
57,39,26,W
59,44,33,W
59,44,33,W
59,44,33,W
59,44,33,W
56,41,30,W
56,41,30,W
56,41,30,W
56,41,30,W
55,34,25,W
55,34,25,W
55,34,25,W
55,34,23,W
55,34,23,W
55,34,23,W
55,34,23,W
55,34,23,W
55,33,61,W
55,33,61,W
55,33,61, 
55,33,61, 
55,33,61, 
55,33,91, 
55,33,91,A
55,33,91,A
55,33,91,A
56,33,77,A
56,33,77,A
56,33,77,A
87,33,88,A
87,33,88,A
87,34,60,A
84,33,60,A
81,33,90,A
79,30,65,W
76,30,15,W
73,29,15,W
73,29,15,W
73,29,15,W
73,29,15,W
68,27,16,W
68,27,16,W
68,27,16,W
68,27,16,W
63,26,17,W
63,26,17,W
63,26,17,W
61,27,19,W
61,27,19,W
57,24,18,W
57,24,17,W
68,25,16,W
56,25,18,W
56,25,18,W
56,25,18,W
72,27,17,W
56,26,16,W
68,26,15,W
63,25,15,W
60,23,16,W
57,25,16,W
57,25,16,W
57,25,16,W
55,21,16,W
55,21,16,W
55,21,16,A
55,21,16,A
50,21,16,A
50,21,16,A
50,21,16,A
50,21,16,A
46,20,17,A
46,20,17,A
46,20,17,A
46,20,17,A
44,19,17,A
44,19,17,A
44,19,17,A
44,19,17,A
44,19,17,A
38,19,22,A
38,19,22,A
38,19,22,A
38,19,22,A
35,18,19,A
35,18,19,A
35,18,19,A
31,19,51,A
31,19,51,A
31,19,51,A
31,19,51,A
31,19,51,A
31,19,51,A
29,20,55,A
25,20,86,A
25,20,86,A
51,19,67,A
20,21,57,A
21,20,50,A
23,19,121,A
20,20,55,A
20,20,55,A
21,28,79,A
21,28,79,A
21,28,79,W
21,28,79,W
21,22,82,W
21,22,82,W
21,22,82,W
21,22,82,W
25,24,81,W
25,24,81,W
25,24,81,W
25,24,81,W
73,28,79,W
73,28,79,W
73,28,79,W
73,28,79,W
-1,29,59,W
-1,29,59,W
-1,29,59,W
-1,29,59,W
76,27,27,W
76,27,27,W
76,27,27,W
76,27,27,W
-1,52,71,W
-1,52,71,W
-1,52,71,W
-1,52,71,W
114,24,25,W
114,24,25,W
114,24,25,W
114,24,25,W
114,24,25,W
112,23,23,W
112,23,23,W
107,55,55,W
107,55,55,W
107,55,55,W
107,55,55,W
107,55,55,W
63,29,54,W
63,29,54,W
105,26,53,W
105,26,53,W
105,25,53,W
104,23,54,W
101,24,19,W
98,22,67, 
94,21,6, 
91,20,9, 
91,20,9,A
91,20,9,A
91,20,9,A
86,21,8,A
86,21,8,A
86,21,8,A
86,21,8,A
83,21,10,A
83,21,10,A
83,21,10,A
83,21,10,A
79,22,10,A
79,22,10,A
79,22,10,A
79,22,10,A
75,18,13,A
75,18,13,A
75,18,13,A
75,18,13,A
75,18,13,A
70,28,27,A
70,28,27,A
70,28,27, 
70,28,27, 
66,17,14, 
66,17,14, 
66,17,14, 
66,17,14,W
63,17,13,W
63,17,13,W
63,17,13,W
63,17,13,W
58,34,13,W
58,34,13,W
58,34,13,W
58,34,13,W
55,16,15,A
55,16,15,A
55,16,15,A
55,16,15,A
55,16,15,A
51,15,15,A
51,15,15,A
49,15,16,A
48,15,16,A
45,16,15,A
45,16,15,A
45,21,15,A
45,17,16,A
45,17,16,A
43,16,15,A
42,18,15,A
39,16,18,A
35,16,14,A
31,18,18,A
31,18,18,A
31,18,18,A
28,20,27,A
28,20,27,A
26,19,29,A
24,20,29,A
26,20,28,A
22,27,30,A
24,22,29,A
24,22,29,A
22,25,51,W
22,25,51,W
22,25,51,W
22,25,51,W
25,28,27,W
25,28,27,W
25,28,27,W
25,28,27,W
25,28,27,W
46,27,23,W
46,27,23,W
46,27,23, 
43,54,30, 
43,54,30, 
43,54,30, 
43,54,30, 
43,54,30, 
44,59,43,A
44,59,43,A
44,59,43,A
44,59,43,A
49,28,22,A
49,28,22,A
49,28,22,A
49,28,22,A
49,28,22,A
109,29,116,A
109,29,116,A
109,29,116,A
109,29,116,A
108,31,57,A
108,31,57,A
108,31,57,A
108,31,57, 
107,26,61, 
107,26,61, 
107,26,61, 
106,26,111, 
106,26,111,W
56,26,87,W
105,25,88,W
103,28,10,W
100,23,10,W
97,23,12,W
93,21,10,W
89,21,9,W
89,21,9,W
89,21,9,W
89,21,9,W
89,21,9,W
89,21,9,W
85,23,10,W
85,23,10,W
85,23,10,W
82,23,13,W
82,23,13,W
59,23,12,W
79,23,10,W
79,23,10,W
78,23,10,W
78,23,10,W
78,24,10,W
77,22,10,W
74,21,10,W
71,20,10,W
67,21,10,W
64,20,13,W
64,20,13,W
64,20,13,W
64,20,13, 
59,20,11, 
59,20,11, 
59,20,11, 
59,20,11, 
55,20,14,A
55,20,14,A
55,20,14,A
55,20,14,A
52,20,13,A
52,20,13,A
52,20,13,A
52,20,13,A
49,20,14,A
49,20,14,A
49,20,14,A
49,20,14,A
44,20,15,A
44,20,15,A
44,20,15,A
40,20,48,A
40,20,48,A
40,20,48,A
40,20,48,A
40,20,48,A
40,20,48,A
38,19,96,A
38,19,96,A
34,19,51,A
33,19,63,A
31,19,50,A
31,19,49,A
31,19,49,A
31,19,49,A
31,19,49,A
31,19,49,A
31,21,49,A
31,21,49,A
31,21,49,A
31,21,49,A
31,20,48,A
31,20,48,A
31,20,48,A
31,20,48,A
31,21,48,A
31,21,48,A
31,21,48,A
31,21,48,A
31,21,48,A
32,25,29,A
32,25,29,A
32,25,29,A
32,25,29,A
71,28,28,A
71,28,28,A
71,28,28,A
71,28,28,A
57,37,27,A
57,37,27,A
57,37,27,A
57,37,27,A
96,38,28,A
96,38,28,A
96,38,28, 
96,38,28, 
62,37,27, 
62,37,27,W
62,37,27,W
62,37,27,W
55,39,29,W
55,39,29,W
55,39,29,W
55,39,29,W
68,37,27,W
68,37,27,W
68,37,27,W
68,37,27,W
68,34,26,W
68,34,26,W
68,34,26,W
68,34,26,W
68,34,26,W
68,36,25,W
68,36,25,W
68,36,25,W
64,34,25,W
64,34,25,W
64,34,25,W
64,34,25,W
92,33,29,W
92,33,29,W
92,33,29, 
92,33,29, 
92,33,29, 
67,31,26, 
67,31,26, 
67,31,26, 
67,31,26, 
115,32,26, 
115,32,26, 
115,32,26, 
115,32,26, 
93,32,24, 
93,32,24,A
93,32,24,A
93,32,24,A
63,32,85,A
63,32,85,A
63,32,85,A
63,32,85,A
89,32,98,A
70,32,23,A
120,32,21,A
117,30,49,A
114,29,55,A
110,29,12,A
110,29,12,A
110,29,12,A
110,29,12,A
107,28,14,A
107,28,14,A
107,28,14,A
55,26,14,A
74,25,15,A
74,25,15,A
100,25,15,A
100,25,15,A
100,25,15,W
100,25,15,W
100,25,15,W
100,25,15,W
79,25,15,W
100,26,14,W
99,26,12,W
56,26,12,W
97,26,12,W
97,26,12,W
97,26,12,W
66,26,13,W
96,25,12,W
94,28,15,W
90,26,14,W
87,26,13,W
83,26,14,W
83,26,14,W
83,26,14,W
80,26,16,W
80,26,16,W
80,26,16,W
80,26,16,W
76,26,13,W
76,26,13,W
76,26,13,W
76,26,13,W
71,26,13,W
71,26,13,W
71,26,13,W
71,26,13,W
68,26,15,A
68,26,15,A
68,26,15,A
68,26,15,A
68,26,15,A
63,28,15,A
63,28,15,A
63,28,15,A
63,28,15,A
59,27,15,A
59,27,15,A
59,27,15,A
59,27,15,A
56,27,15,A
56,27,15,A
56,27,15,A
56,27,15,A
52,27,22,A
52,27,22,A
52,27,22,A
52,27,22,A
49,27,16,A
49,27,16,A
49,27,16,A
49,27,16,A
49,27,16,A
44,28,29,A
44,28,29,A
44,28,29,A
44,28,29,A
42,27,31,A
42,27,31,A
42,27,31,A
42,27,31,A
38,27,63,A
38,27,63,A
38,27,63,A
38,27,63,A
32,26,62,A
32,26,62,A
32,26,62,A
32,26,62,A
28,28,65,A
28,28,65,A
28,28,65,A
25,26,83,A
25,26,83,A
23,27,96,A
22,27,63,A
21,28,78,A
22,29,71,A
22,30,56,A
22,30,56,A
24,32,76,A
24,32,76,A
24,32,76,A
24,32,76,A
55,34,64,A
55,34,64,A
55,34,64,A
55,34,64,A
91,34,65,A
91,34,65,A
91,34,65,A
91,34,65,A
55,35,36,A
55,35,36, 
55,35,36, 
55,35,36, 
55,35,36, 
55,42,37, 
55,42,37, 
55,42,37, 
55,42,37, 
71,42,33,W
71,42,33,W
71,42,33,W
71,42,33,W
50,44,31,W
50,44,31,W
50,44,31,W
50,44,31,W
50,46,31,W
50,46,31,W
50,46,31,W
50,46,31,W
55,27,37,W
55,27,37,W
55,27,37,W
55,27,37,W
55,27,37,W
67,25,58,W
67,25,58,W
